OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,1,42, 943548)), ('pm1_cf', 34), ('pm25_cf', 57), ('pm10_cf', 64), ('pm1', 28), ('pm25', 44), ('pm10', 56)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,2,43, 410477)), ('pm1_cf', 30), ('pm25_cf', 58), ('pm10_cf', 73), ('pm1', 25), ('pm25', 44), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,3,44, 217049)), ('pm1_cf', 34), ('pm25_cf', 63), ('pm10_cf', 71), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,4,44, 808750)), ('pm1_cf', 33), ('pm25_cf', 67), ('pm10_cf', 76), ('pm1', 27), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,5,45, 490727)), ('pm1_cf', 33), ('pm25_cf', 65), ('pm10_cf', 73), ('pm1', 27), ('pm25', 47), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,6,45, 745675)), ('pm1_cf', 30), ('pm25_cf', 61), ('pm10_cf', 69), ('pm1', 25), ('pm25', 45), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,7,46, 788865)), ('pm1_cf', 34), ('pm25_cf', 72), ('pm10_cf', 81), ('pm1', 28), ('pm25', 50), ('pm10', 65)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,8,47, 818090)), ('pm1_cf', 34), ('pm25_cf', 64), ('pm10_cf', 70), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,9,48, 96735)), ('pm1_cf', 33), ('pm25_cf', 62), ('pm10_cf', 68), ('pm1', 27), ('pm25', 46), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,10,48, 855686)), ('pm1_cf', 30), ('pm25_cf', 62), ('pm10_cf', 78), ('pm1', 25), ('pm25', 46), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,11,49, 971420)), ('pm1_cf', 32), ('pm25_cf', 63), ('pm10_cf', 68), ('pm1', 26), ('pm25', 46), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,12,50, 373003)), ('pm1_cf', 32), ('pm25_cf', 64), ('pm10_cf', 75), ('pm1', 27), ('pm25', 47), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,13,50, 654374)), ('pm1_cf', 38), ('pm25_cf', 67), ('pm10_cf', 73), ('pm1', 29), ('pm25', 48), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,14,51, 476384)), ('pm1_cf', 29), ('pm25_cf', 63), ('pm10_cf', 70), ('pm1', 25), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,15,52, 491764)), ('pm1_cf', 35), ('pm25_cf', 68), ('pm10_cf', 77), ('pm1', 28), ('pm25', 49), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,16,53, 48061)), ('pm1_cf', 33), ('pm25_cf', 66), ('pm10_cf', 78), ('pm1', 27), ('pm25', 48), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,17,53, 671520)), ('pm1_cf', 34), ('pm25_cf', 62), ('pm10_cf', 70), ('pm1', 28), ('pm25', 46), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,18,54, 365814)), ('pm1_cf', 34), ('pm25_cf', 65), ('pm10_cf', 75), ('pm1', 28), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,15,19,54, 918198)), ('pm1_cf', 34), ('pm25_cf', 64), ('pm10_cf', 74), ('pm1', 28), ('pm25', 47), ('pm10', 62)])
